,Lemma
1,el
2,de
3,que
4,en
5,y
6,a
7,uno
8,ser
9,del
10,se
11,por
12,con
13,su
14,no
15,para
16,haber
17,al
18,este
19,estar
20,como
21,él
22,tener
23,más
24,hacer
25,o
26,yo
27,poder
28,año
29,otro
30,pero
31,todo
32,Chile
33,decir
34,deber
35,si
36,ese
37,Santiago
38,dar
39,entre
40,primero
41,tercero
42,sin
43,diario
44,nuevo
45,ya
46,mucho
47,sobre
48,país
49,también
50,archivar
51,ir
52,quien
53,día
54,desde
55,cuando
56,ver
57,nacional
58,porque
59,parte
60,tanto
61,hasta
62,sólo
63,ley
64,profesional
65,caso
66,estado
67,presidente
68,vez
69,empresa
72,trabajo
73,persona
74,hora
75,servicio
76,donde
77,mismo
78,gobierno
79,último
80,nuestro
81,proyecto
83,llegar
84,lugar
85,mi
86,general
87,realizar
88,además
89,así
90,mayor
91,cual
92,chileno
93,corpus
95,segundo
96,noticia
98,hoy
99,número
100,según
101,durante
102,forma
103,querer
104,región
105,tiempo
106,encontrar
107,sector
108,bien
109,ayer
110,fin
111,cada
112,mejor
113,quedar
114,artículo
115,buen
116,alguno
117,derecho
118,problema
119,gran
120,tema
121,dejar
122,mercurio
123,pasado
124,contra
125,señalar
126,partido
127,seguir
128,saber
129,ahora
130,pasar
131,qué
132,medio
133,mes
134,sistema
135,edición
136,ministro
137,existir
138,grupo
139,tú
140,anónimo
141,señor
142,vida
143,permitir
144,presentar
145,situación
146,ni
147,después
148,fecha
149,acuerdo
150,punto
151,universidad
152,importante
153,menos
154,respecto
155,equipo
156,esperar
157,llevar
158,norte
159,momento
160,crear
161,programa
162,cuenta
163,recurso
164,mundo
165,semana
166,luego
167,tratar
168,social
169,detalle
171,entregar
172,aunque
173,próximo
174,producto
175,director
176,obra
177,nivel
178,mientras
179,mercado
180,páginas
181,salud
182,mantener
183,desarrollo
184,proceso
185,relación
186,embargo
187,casa
188,recibir
189,política
190,siempre
191,conocer
192,gente
193,tribunal
194,fuente
195,cosa
196,información
198,ex
199,poco
200,poner
201,tomar
202,lograr
203,alto
204,tipo
205,internacional
206,considerar
207,regional
208,sur
209,opinión
210,público
211,económico
212,ante
213,resultado
214,propio
215,explicar
216,norma
217,peso
218,actividad
219,ciudad
220,sino
221,comenzar
222,trabajar
223,comisión
224,unido
225,mostrar
226,mujer
227,estudio
228,juan
229,autoridad
230,medida
231,cambio
232,zona
233,seguridad
234,carlos
235,parecer
236,san
237,junto
238,cumplir
239,local
240,tras
241,fondo
242,pensar
243,lago
244,volver
245,página
246,valor
247,personal
248,jugar
249,través
251,antes
252,julio
253,contar
254,centro
255,vivir
256,indicar
257,hombre
258,pedir
259,salir
260,asegurar
261,lunes
262,institución
263,venir
264,senador
265,pesar
266,documento
267,nada
268,condición
269,especial
270,buscar
271,grande
272,agregar
273,tal
274,niño
275,corte
276,terminar
277,menor
278,manera
279,educación
280,cargo
281,participar
282,acción
283,principal
284,sala
285,aún
287,frente
288,hablar
289,final
