,Lemma
0,и
1,в
2,не
3,я
4,быть
5,он
6,а
7,по
8,она
9,этот
10,к
11,но
12,они
13,мы
14,из
15,который
16,за
17,свой
18,весь
19,год
20,от
21,так
22,для
23,ты
24,тот
25,вы
26,человек
27,такой
28,его
29,сказать
30,или
31,еще
32,бы
33,себя
34,как
35,уже
36,до
37,время
38,если
39,сам
40,другой
41,вот
42,говорить
43,наш
44,мой
45,при
46,чтобы
47,дело
48,жизнь
49,кто
50,первый
51,очень
52,два
53,день
54,ее
55,новый
56,рука
57,со
58,где
59,там
60,под
61,можно
62,ну
63,какой
64,их
65,работа
66,без
67,самый
68,потом
69,надо
70,хотеть
71,слово
72,идти
73,Россия
74,большой
75,должен
76,место
77,иметь
78,ничто
79,то
80,сейчас
81,тут
82,лицо
83,каждый
84,друг
85,нет
86,теперь
87,глаз
88,тоже
89,тогда
90,видеть
91,вопрос
92,через
93,да
94,здесь
95,дом
96,потому
97,сторона
98,какой-то
99,думать
100,сделать
101,страна
102,жить
103,чем
104,мир
105,об
106,последний
107,случай
108,голова
109,более
110,делать
111,смотреть
112,ребенок
113,конечно
114,сила
115,российский
116,конец
117,Москва
118,перед
119,вид
120,система
121,всегда
122,работать
123,между
124,три
125,понять
126,пойти
127,часть
128,спросить
129,город
130,дать
131,также
132,никто
133,понимать
134,получить
135,отношение
136,второй
137,ваш
138,хотя
139,ни
140,сидеть
141,над
142,женщина
143,оказаться
144,русский
145,один
146,взять
147,прийти
148,являться
149,деньги
150,почему
151,вдруг
152,любить
153,стоить
154,почти
155,земля
156,общий
157,машина
158,сразу
159,хорошо
160,вода
161,отец
162,высокий
163,остаться
164,выйти
165,проблема
166,начать
167,хороший
168,час
169,это
170,сегодня
171,совсем
172,нога
173,считать
174,главный
175,решение
176,увидеть
177,дверь
178,казаться
179,образ
180,писать
181,история
182,лучший
183,власть
184,закон
185,все
186,война
187,бог
188,голос
189,найти
190,поэтому
191,стоять
192,вообще
193,тысяча
194,больше
195,вместе
196,маленький
197,книга
198,некоторый
199,решить
200,любой
201,возможность
202,результат
203,ночь
204,стол
205,никогда
206,имя
207,область
208,молодой
209,пройти
210,например
211,статья
212,оно
213,число
214,компания
215,про
216,государственный
217,полный
218,принять
219,народ
220,никакой
221,советский
222,жена
223,настоящий
224,всякий
225,группа
226,развитие
227,процесс
228,суд
229,давать
230,ответить
231,старый
232,условие
233,твой
234,средство
235,помнить
236,начало
237,ждать
238,свет
239,путь
240,душа
241,куда
242,нужно
243,разный
244,нужный
245,уровень
246,иной
247,форма
248,связь
249,минута
250,находиться
251,опять
252,многий
253,белый
254,собственный
255,улица
256,черный
257,написать
258,вечер
259,снова
260,основной
261,качество
262,мысль
263,дорога
264,мать
265,действие
266,месяц
267,оставаться
268,государство
269,язык
270,любовь
271,взгляд
272,мама
273,играть
274,далекий
275,лежать
276,нельзя
277,школа
278,уйти
279,подумать
280,цель
281,среди
282,общество
283,посмотреть
284,деятельность
285,организация
286,кто-то
287,вернуться
288,президент
289,комната
290,порядок
291,момент
292,театр
293,следовать
294,читать
295,письмо
296,подобный
297,следующий
298,утро
299,особенно
300,помощь
301,ситуация
302,роль
303,бывать
304,ходить
305,рубль
306,начинать
307,смысл
308,появиться
309,состояние
310,называть
311,рядом
312,квартира
313,назад
314,равный
315,из-за
316,орган
317,внимание
318,труд
319,тело
320,прийтись
321,хотеться
322,сын
323,мера
324,пять
325,смерть
326,живой
327,рынок
328,программа
329,задача
330,предприятие
331,известный
332,окно
333,совершенно
334,вести
335,военный
336,разговор
337,правительство
338,показать
339,важный
340,семья
341,великий
342,производство
343,простой
344,значит
345,третий
346,огромный
347,давно
348,политический
349,информация
350,действительно
351,положение
352,поставить
353,бояться
354,центр
355,наконец
356,происходить
357,ответ
358,муж
359,автор
360,стена
361,существовать
362,даже
363,интерес
364,становиться
365,федерация
366,правило
367,оба
368,часто
369,московский
370,управление
371,слышать
372,быстро
373,смочь
374,заметить
375,мужчина
376,как-то
377,долго
378,правда
379,идея
380,партия
381,иногда
382,использовать
383,пытаться
384,готовый
385,чуть
386,зачем
387,представить
388,чувствовать
389,создать
390,совет
391,счет
392,сердце
393,движение
394,вещь
395,материал
396,чувство
397,неделя
398,затем
399,данный
400,заниматься
401,продолжать
402,красный
403,глава
404,ко
405,слушать
406,наука
407,узнать
408,ряд
409,Александр
410,газета
411,причина
412,плечо
413,современный
414,цена
415,план
416,приехать
417,речь
418,четыре
419,отвечать
420,точка
421,основа
422,товарищ
423,культура
424,слишком
425,рассказывать
426,вполне
427,далее
428,рассказать
429,данные
430,представлять
431,мнение
432,социальный
433,документ
434,ход
435,институт
436,брать
437,забыть
438,проект
439,ранний
440,встреча
441,особый
442,целый
443,директор
444,провести
445,спать
446,плохой
447,может
448,впрочем
449,сильный
450,наверное
451,скорый
452,ведь
453,срок
454,палец
455,помочь
456,опыт
457,приходить
458,служба
459,крупный
460,Андрей
461,внутренний
462,просить
463,вспомнить
464,открыть
465,привести
466,судьба
467,пока
468,девушка
469,поскольку
470,очередь
471,лес
472,экономический
473,оставить
474,правый
475,состав
476,Сергей
477,словно
478,федеральный
479,спрашивать
480,принимать
481,член
482,искать
483,близкий
484,количество
485,событие
486,похожий
487,объект
488,зал
489,создание
490,войти
491,различный
492,назвать
493,значение
494,достаточно
495,период
496,шаг
497,необходимый
498,успеть
499,произойти
500,брат
501,искусство
502,единственный
503,легкий
504,структура
505,выходить
506,пример
507,номер
508,предложить
509,пить
510,исследование
511,гражданин
512,глядеть
513,человеческий
514,игра
515,начальник
516,сей
517,рост
518,международный
519,ехать
520,тема
521,принцип
522,попасть
523,дорогой
524,начаться
525,десять
526,верить
527,метод
528,тип
529,фильм
530,небольшой
531,держать
532,либо
533,позволять
534,край
535,местный
536,менее
537,США
538,уходить
539,гость
540,купить
541,собираться
542,воздух
543,туда
544,относиться
545,бывший
546,требовать
547,характер
548,борьба
549,кстати
550,использование
551,подойти
552,Иван
553,РФ
554,размер
555,удаться
556,образование
557,получать
558,мальчик
559,Владимир
560,кровь
561,район
562,небо
563,американский
564,армия
565,класс
566,представитель
567,участие
568,девочка
569,политика
570,сначала
571,герой
572,широкий
573,картина
574,спина
575,доллар
576,территория
577,мировой
578,тяжелый
579,поле
580,довольно
581,изменение
582,умереть
583,рисунок
584,течение
585,направление
586,возможный
587,церковь
588,банк
589,отдельный
590,средний
591,красивый
592,сцена
593,население
594,большинство
595,сесть
596,двадцать
597,случиться
598,музыка
599,короткий
600,проходить
601,составлять
602,свобода
603,память
604,приходиться
605,причем
606,команда
607,установить
608,союз
609,поднять
610,будто
611,врач
612,серьезный
613,договор
614,стараться
615,уметь
616,встать
617,интересный
618,дерево
619,факт
620,добрый
621,хозяин
622,национальный
623,однажды
624,длинный
625,природа
626,домой
627,страшный
628,прошлый
629,угол
630,общественный
631,чтоб
632,телефон
633,проводить
634,позиция
635,скоро
636,наиболее
637,двор
638,Сталин
639,обычно
640,бросить
641,писатель
642,самолет
643,объем
644,далеко
645,род
646,солнце
647,вера
648,спектакль
649,берег
650,фирма
651,способ
652,Николай
653,завод
654,цвет
655,трудно
656,журнал
657,руководитель
658,специалист
659,детский
660,возможно
661,точно
662,оценка
663,объяснить
664,снять
665,единый
666,определенный
667,низкий
668,нравиться
669,услышать
670,регион
671,связать
672,песня
673,процент
674,родитель
675,чужой
676,позволить
677,странный
678,море
679,требование
680,чистый
681,весьма
682,основание
683,половина
684,какой-нибудь
685,поехать
686,положить
687,входить
688,легко
689,роман
690,поздний
691,круг
692,стихи
693,анализ
694,автомобиль
695,специальный
696,экономика
697,литература
698,бумага
699,вместо
700,впервые
701,видно
702,поэт
703,оказываться
704,научный
705,показывать
706,степень
707,вызвать
708,касаться
709,господин
710,надежда
711,сложный
712,предмет
713,Борис
714,отметить
715,заявить
716,вариант
717,министр
718,откуда
719,реальный
720,граница
721,действовать
722,дух
723,модель
724,операция
725,сон
726,пара
727,немного
728,название
729,ум
730,повод
731,старик
732,способный
733,миллион
734,малый
735,успех
736,старший
737,практически
738,получиться
739,личный
740,счастье
741,свободный
742,необходимо
743,ребята
744,обычный
745,кабинет
746,прекрасный
747,СССР
748,высший
749,Михаил
750,кричать
751,пространство
752,магазин
753,выход
754,остановиться
755,удар
756,база
757,знание
758,текст
759,сюда
760,темный
761,предлагать
762,защита
763,руководство
764,вовсе
765,площадь
766,сознание
767,гражданский
768,убить
769,молчать
770,возраст
771,участник
772,согласиться
773,участок
774,рано
775,пункт
776,несмотря
777,сильно
778,столь
779,сообщить
780,линия
781,желание
782,бежать
783,папа
784,кажется
785,петь
786,доктор
787,известно
788,губа
789,дома
790,показаться
791,вызывать
792,дочь
793,среда
794,председатель
795,художник
796,представление
797,солдат
798,принести
799,волос
800,оружие
801,выглядеть
802,соответствие
803,никак
804,парень
805,служить
806,внешний
807,ветер
808,зрение
809,попросить
810,генерал
811,состоять
812,огонь
813,отдать
814,боевой
815,строительство
816,понятие
817,ухо
818,Европа
819,грудь
820,нос
821,выступать
822,ставить
823,завтра
824,когда
825,страх
826,возникать
827,услуга
828,рабочий
829,что-нибудь
830,глубокий
831,содержание
832,радость
833,безопасность
834,надеяться
835,продукт
836,видимо
837,комплекс
838,бизнес
839,подняться
840,Иванович
841,вспоминать
842,мало
843,сад
844,долгий
845,одновременно
846,называться
847,сотрудник
848,лето
849,тихо
850,зато
851,прямой
852,финансовый
853,предложение
854,курс
855,помогать
856,открытый
857,почему-то
858,значить
859,возникнуть
860,рот
861,где-то
862,технология
863,знакомый
864,недавно
865,реформа
866,отсутствие
867,нынешний
868,собака
869,камень
870,будущее
871,рассказ
872,звать
873,контроль
874,река
875,позвонить
876,хватать
877,продукция
878,сумма
879,техника
880,исторический
881,народный
882,вновь
883,ибо
884,здание
885,выпить
886,сфера
887,знаменитый
888,потерять
889,иначе
890,необходимость
891,больший
892,фонд
893,иметься
894,вперед
895,подготовка
896,лист
897,вчера
898,пустой
899,очередной
900,республика
901,хозяйство
902,Виктор
903,получаться
904,полностью
905,учиться
906,плохо
907,воля
908,судебный
909,бюджет
910,расти
911,возвращаться
912,снег
913,деревня
914,обнаружить
915,мужик
916,постоянно
917,элемент
918,зеленый
919,почувствовать
920,обстоятельство
921,немец
922,победа
923,многое
924,источник
925,немецкий
926,передать
927,золотой
928,технический
929,нормальный
930,желать
931,едва
932,ожидать
933,некий
934,звезда
935,городской
936,выбор
937,Америка
938,соответствующий
939,масса
940,составить
941,итог
942,сестра
943,что
944,Игорь
945,шесть
946,ясно
947,практика
948,сто
949,проведение
950,нести
951,определить
952,карман
953,любимый
954,родной
955,западный
956,слава
957,обязательно
958,определение
959,кухня
960,пользоваться
961,быстрый
962,функция
963,войско
964,комиссия
965,применение
966,холодный
967,работник
968,капитан
969,улыбнуться
970,обеспечение
971,офицер
972,появляться
973,Олег
974,конкретный
975,фамилия
976,прямо
977,предел
978,смеяться
979,выборы
980,иностранный
981,уехать
982,левый
983,счастливый
984,бутылка
985,бой
986,подходить
987,судить
988,родиться
989,Ольга
990,теория
991,зона
992,отдел
993,зуб
994,разработка
995,Алексей
996,отказаться
997,святой
998,считаться
999,точный
1000,занять
1001,личность
1002,товар
1003,гора
1004,добавить
1005,звонить
1006,медленно
1007,носить
1008,метр
1009,начинаться
1010,зависеть
1011,праздник
1012,влияние
1013,построить
1014,читатель
1015,частый
1016,удовольствие
1017,актер
1018,слеза
1019,создавать
1020,значительный
1021,учитель
1022,ответственность
1023,акт
1024,произнести
1025,принадлежать
1026,встретить
1027,боль
1028,множество
1029,связанный
1030,участвовать
1031,особенность
1032,показатель
1033,занимать
1034,уверенный
1035,корабль
1036,звук
1037,центральный
1038,тонкий
1039,впечатление
